title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email
Rep,Robert,B.,Aderholt,,,R,AL,4,1,M,202-225-4876,202-225-5587,https://aderholt.house.gov,http://aderholt.house.gov/email-me2/,235 Cannon House Office Building,A000055,441,H6AL04098,400004,N00003028,Robert_Aderholt,http://www.opencongress.org/wiki/Robert_Aderholt,http://youtube.com/RobertAderholt,19787529402,,,1965-07-22,Rep.Aderholt@opencongress.org
Sen,Lamar,,Alexander,,,R,TN,Senior Seat,1,M,202-224-4944,202-228-3398,http://www.alexander.senate.gov,http://www.alexander.senate.gov/public/index.cfm?p=Email,455 Dirksen Senate Office Building,A000360,15691,S2TN00058,300002,N00009888,SenAlexander,http://www.opencongress.org/wiki/Lamar_Alexander,http://youtube.com/lamaralexander,89927603836,,II,1940-07-03,Sen.Alexander@opencongress.org
Rep,Justin,,Amash,,,R,MI,3,1,M,202-225-3831,202-225-5144,http://amash.house.gov,https://amash.house.gov/contact-me/email-me,114 Cannon House Office Building,A000367,105566,H0MI03126,412438,N00031938,,http://www.opencongress.org/wiki/Justin_Amash,http://youtube.com/repjustinamash,173604349345646,,,1980-04-18,Rep.Amash@opencongress.org
Sen,Kelly,,Ayotte,,,R,NH,Junior Seat,1,F,202-224-3324,202-224-4952,http://www.ayotte.senate.gov,http://www.ayotte.senate.gov/?p=contact,144 Russell Senate Office Building,A000368,42352,S0NH00235,412493,N00030980,,http://www.opencongress.org/wiki/Kelly_Ayotte,http://youtube.com/SenatorAyotte,123436097729198,,III,1968-06-27,Sen.Ayotte@opencongress.org
Rep,Mark,E.,Amodei,,,R,NV,2,1,M,202-225-6155,202-225-5679,http://amodei.house.gov,https://amodei.house.gov/contact-us,332 Cannon House Office Building,A000369,12537,H2NV02395,412500,N00031177,MarkAmodeiNV2,http://www.opencongress.org/wiki/Mark_Amodei,http://youtube.com/markamodeinv2,307227745970624,,,1958-06-12,Rep.Amodei@opencongress.org
Rep,Alma,,Adams,,,D,NC,12,1,F,202-225-1510,202-225-1512,http://adams.house.gov,http://adams.house.gov/contact,222 Cannon House Office Building,A000370,,H4NC12100,412607,N00035451,RepAdams,,,CongresswomanAdams,,,1946-05-27,Rep.Adams@opencongress.org
Rep,Pete,,Aguilar,,,D,CA,31,1,M,202-225-3201,202-226-6962,https://aguilar.house.gov,,1223 Longworth House Office Building,A000371,,H2CA31125,412615,N00033997,reppeteaguilar,,,reppeteaguilar,,,1979-06-19,Rep.Aguilar@opencongress.org
Rep,Rick,,Allen,,,R,GA,12,1,M,202-225-2823,202-225-3377,http://allen.house.gov,,513 Cannon House Office Building,A000372,,H2GA12121,412625,N00033720,reprickallen,,,CongressmanRickAllen,,,1951-11-07,Rep.Allen@opencongress.org
Rep,Brad,,Ashford,,,D,NE,2,1,M,202-225-4155,202-226-5452,https://ashford.house.gov,,107 Cannon House Office Building,A000373,,H4NE02054,412642,N00005293,RepBradAshford,,,RepBradAshford,,,1949-11-10,Rep.Ashford@opencongress.org
Rep,Ralph,,Abraham,,,R,LA,5,1,M,202-225-8490,202-225-5639,https://abraham.house.gov,,417 Cannon House Office Building,A000374,,H4LA05221,412630,N00036633,RepAbraham,,,CongressmanRalphAbraham,,,1954-09-16,Rep.Abraham@opencongress.org
Rep,Joe,Linus,Barton,,,R,TX,6,1,M,202-225-2002,202-225-3052,http://joebarton.house.gov,https://joebarton.house.gov/contact1/,2107 Rayburn House Office Building,B000213,27082,H4TX06117,400018,N00005656,RepJoeBarton,http://www.opencongress.org/wiki/Joe_Barton,http://youtube.com/repjoebarton,15617630596,,,1949-09-15,Rep.Joebarton@opencongress.org
Rep,Xavier,,Becerra,,,D,CA,34,1,M,202-225-6235,202-225-2202,http://becerra.house.gov,http://becerraforms.house.gov/forms/writeyourrep/,1226 Longworth House Office Building,B000287,26754,H2CA30143,400021,N00009774,RepBecerra,http://www.opencongress.org/wiki/Xavier_Becerra,http://youtube.com/XavierBecerra,90311772229,,,1958-01-26,Rep.Becerra@opencongress.org
Rep,Sanford,D.,Bishop,Jr.,,D,GA,2,1,M,202-225-3631,202-225-2203,http://bishop.house.gov,http://bishop.house.gov/contact,2407 Rayburn House Office Building,B000490,26817,H2GA02031,400030,N00002674,SanfordBishop,http://www.opencongress.org/wiki/Sanford_Bishop,http://youtube.com/RepSanfordBishop,366739521606,,,1947-02-04,Rep.Bishop@opencongress.org
Rep,Earl,,Blumenauer,,,D,OR,3,1,M,202-225-4811,202-225-8941,http://blumenauer.house.gov,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,1111 Longworth House Office Building,B000574,367,H6OR03064,400033,N00007727,BlumenauerMedia,http://www.opencongress.org/wiki/Earl_Blumenauer,http://youtube.com/RepBlumenauer,,,,1948-08-16,Rep.Blumenauer@opencongress.org
Sen,Roy,,Blunt,,,R,MO,Junior Seat,1,M,202-224-5721,202-224-8149,http://www.blunt.senate.gov,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,260 Russell Senate Office Building,B000575,418,H6MO07128,400034,N00005195,RoyBlunt,http://www.opencongress.org/wiki/Roy_Blunt,http://youtube.com/SenatorBlunt,142473042477322,,III,1950-01-10,Sen.Blunt@opencongress.org
Sen,Barbara,,Boxer,,,D,CA,Junior Seat,1,F,202-224-3553,202-224-0454,http://www.boxer.senate.gov,https://www.boxer.senate.gov/contact/shareyourviews.html,112 Hart Senate Office Building,B000711,53274,S2CA00286,300011,N00006692,SenatorBoxer,http://www.opencongress.org/wiki/Barbara_Boxer,http://youtube.com/SenatorBoxer,116513005087055,,III,1940-11-11,Sen.Boxer@opencongress.org
Rep,Kevin,P.,Brady,,,R,TX,8,1,M,202-225-4901,202-225-5524,http://kevinbrady.house.gov,https://kevinbrady.house.gov/contact-form,301 Cannon House Office Building,B000755,361,H6TX08100,400046,N00005883,RepKevinBrady,http://www.opencongress.org/wiki/Kevin_Brady,http://youtube.com/KBrady8,9307301412,,,1955-04-11,Rep.Kevinbrady@opencongress.org
Rep,Corrine,,Brown,,,D,FL,5,1,F,202-225-0123,202-225-2256,https://corrinebrown.house.gov,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,2111 Rayburn House Office Building,B000911,26797,H2FL03056,400048,N00002713,RepCorrineBrown,http://www.opencongress.org/wiki/Corrine_Brown,http://youtube.com/CongresswomanBrown,179120958813519,,,1946-11-11,Rep.Corrinebrown@opencongress.org
Sen,Sherrod,,Brown,,,D,OH,Senior Seat,1,M,202-224-2315,202-228-6321,http://www.brown.senate.gov,http://www.brown.senate.gov/contact,713 Hart Senate Office Building,B000944,27018,H2OH13033,400050,N00003535,SenSherrodBrown,http://www.opencongress.org/wiki/Sherrod_Brown,http://youtube.com/SherrodBrownOhio,,,I,1952-11-09,Sen.Brown@opencongress.org
Sen,Richard,M.,Burr,,,R,NC,Senior Seat,1,M,202-224-3154,202-228-2981,http://www.burr.senate.gov,http://www.burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm,217 Russell Senate Office Building,B001135,21787,S4NC00089,400054,N00002221,SenatorBurr,http://www.opencongress.org/wiki/Richard_Burr,http://youtube.com/SenatorRichardBurr,132653626787856,,III,1955-11-30,Sen.Burr@opencongress.org
Rep,Robert,Alan,Brady,,,D,PA,1,1,M,202-225-4731,202-225-0088,http://brady.house.gov,https://brady.house.gov/contact-me/email-me,102 Cannon House Office Building,B001227,2519,H8PA01153,400047,N00001619,RepBrady,http://www.opencongress.org/wiki/Robert_Brady,http://youtube.com/BradyPA01,118845109487,,,1945-04-07,Rep.Brady@opencongress.org
Sen,Tammy,,Baldwin,,,D,WI,Junior Seat,1,F,202-224-5653,202-225-6942,http://www.baldwin.senate.gov,http://www.baldwin.senate.gov/contact,717 Hart,B001230,3470,H8WI00018,400013,N00004367,SenatorBaldwin,http://www.opencongress.org/wiki/Tammy_Baldwin,http://youtube.com/witammybaldwin,7357041101,,I,1962-02-11,Sen.Baldwin@opencongress.org
Sen,John,,Boozman,,,R,AR,Senior Seat,1,M,202-224-4843,202-228-1371,http://www.boozman.senate.gov,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,141 Hart Senate Office Building,B001236,27958,H2AR03176,400040,N00013873,JohnBoozman,http://www.opencongress.org/wiki/John_Boozman,http://youtube.com/BoozmanPressOffice,7686715735,,III,1950-12-10,Sen.Boozman@opencongress.org
Rep,Marsha,W.,Blackburn,,,R,TN,7,1,F,202-225-2811,202-225-3004,http://blackburn.house.gov,https://blackburn.house.gov/contactform/email.htm,2266 Rayburn House Office Building,B001243,25186,H2TN06030,400032,N00003105,MarshaBlackburn,http://www.opencongress.org/wiki/Marsha_Blackburn,http://youtube.com/RepMarshaBlackburn,6470828395,,,1952-06-06,Rep.Blackburn@opencongress.org
Del,Madeleine,Z.,Bordallo,,,D,GU,0,1,F,202-225-1188,202-226-0341,http://bordallo.house.gov,https://bordallo.house.gov/contact-me,2441 Rayburn House Office Building,B001245,1751,H2GU00033,400041,N00024866,,http://www.opencongress.org/wiki/Madeline_Bordallo,,161729837225622,,,1933-05-31,Rep.Bordallo@opencongress.org
Rep,Michael,C.,Burgess,,,R,TX,26,1,M,202-225-7772,202-225-2919,http://burgess.house.gov,http://burgess.house.gov/contact/356345.htm,2336 Rayburn House Office Building,B001248,50120,H2TX26093,400052,N00025219,MichaelCBurgess,http://www.opencongress.org/wiki/Michael_Burgess,http://youtube.com/michaelcburgessmd,6916472567,,,1950-12-23,Rep.Burgess@opencongress.org
Rep,Rob,,Bishop,,,R,UT,1,1,M,202-225-0453,202-225-5857,http://robbishop.house.gov,https://robbishop.house.gov/contact/contactform.htm,123 Cannon House Office Building,B001250,50544,H2UT01094,400029,N00025292,RepRobBishop,http://www.opencongress.org/wiki/Rob_Bishop,http://youtube.com/CongressmanBishop,RepRobBishop,,,1951-07-13,Rep.Robbishop@opencongress.org
Rep,George,Kenneth,Butterfield,Jr.,G.K.,D,NC,1,1,M,202-225-3101,202-225-3354,http://butterfield.house.gov,https://butterfield.house.gov/email-congressman-butterfield,2305 Rayburn House Office Building,B001251,41077,H4NC01046,400616,N00027035,GKButterfield,http://www.opencongress.org/wiki/George_Butterfield,http://youtube.com/GKBNC01,274687979233940,,,1947-04-27,Rep.Butterfield@opencongress.org
Rep,Charles,W.,Boustany,Jr.,,R,LA,3,1,M,202-225-2031,202-225-5724,http://boustany.house.gov,https://boustanyforms.house.gov/contact-me/,1431 Longworth House Office Building,B001255,35514,H4LA07029,400636,N00026595,RepBoustany,http://www.opencongress.org/wiki/Charles_Boustany,http://youtube.com/boustanyla07,197407646951718,,,1956-02-21,Rep.Boustany@opencongress.org
Rep,Gus,M.,Bilirakis,,,R,FL,12,1,M,202-225-5755,202-225-4085,https://bilirakis.house.gov,https://bilirakis.house.gov/email-congressman-bilirakis/,2112 Rayburn House Office Building,B001257,17318,H6FL09070,412250,N00027462,RepGusBilirakis,http://www.opencongress.org/wiki/Gus_Michael_Bilirakis,http://youtube.com/RepGusBilirakis,135445766485586,,,1963-02-08,Rep.Bilirakis@opencongress.org
Rep,Vern,,Buchanan,,,R,FL,16,1,M,202-225-5015,202-226-0828,https://buchanan.house.gov,https://buchanan.house.gov/email-me,2104 Rayburn House Office Building,B001260,66247,H6FL13148,412196,N00027626,VernBuchanan,http://www.opencongress.org/wiki/Vern_Buchanan,http://youtube.com/vernbuchanan,67106719910,,,1951-05-08,Rep.Buchanan@opencongress.org
Sen,John,A.,Barrasso,,,R,WY,Junior Seat,1,M,202-224-6441,202-224-1724,http://www.barrasso.senate.gov,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,307 Dirksen Senate Office Building,B001261,52662,S6WY00068,412251,N00006236,SenJohnBarrasso,http://www.opencongress.org/wiki/John_Barrasso,http://youtube.com/barrassowyo,21146775942,,I,1952-07-21,Sen.Barrasso@opencongress.org
Sen,Michael,F.,Bennet,,,D,CO,Senior Seat,1,M,202-224-5852,202-228-5036,http://www.bennet.senate.gov,http://www.bennet.senate.gov/contact/email,261 Russell Senate Office Building,B001267,110942,S0CO00211,412330,N00030608,SenBennetCo,http://www.opencongress.org/wiki/Michael_Bennet,http://youtube.com/SenatorBennet,97172997732,,III,1964-11-28,Sen.Bennet@opencongress.org
Rep,Lou,,Barletta,,,R,PA,11,1,M,202-225-6511,202-225-0764,http://barletta.house.gov,https://barletta.house.gov/contact/email-me,115 Cannon House Office Building,B001269,47143,H2PA11098,412469,N00025495,RepLouBarletta,http://www.opencongress.org/wiki/Lou_Barletta,http://youtube.com/reploubarletta,192357174108435,,,1956-01-28,Rep.Barletta@opencongress.org
Rep,Karen,,Bass,,,D,CA,37,1,F,202-225-7084,202- 225-2422,http://bass.house.gov,https://bass.house.gov/contact-me/email-me,408 Cannon House Office Building,B001270,28963,H0CA33117,412404,N00031877,RepKarenBass,http://www.opencongress.org/wiki/Karen_Bass,http://youtube.com/RepKarenBass,190867440939405,,,1953-10-03,Rep.Bass@opencongress.org
Rep,Dan,,Benishek,,,R,MI,1,1,M,202-225-4735,202- 225-4744,http://benishek.house.gov,https://benishek.house.gov/contact-me/email-me,514 Cannon House Office Building,B001271,123056,H0MI01088,412436,N00031934,CongressmanDan,http://www.opencongress.org/wiki/Dan_Benishek,,124163654317596,,,1952-04-20,Rep.Benishek@opencongress.org
Rep,Diane,,Black,,,R,TN,6,1,F,202-225-4231,202- 225-6887,http://black.house.gov,https://black.house.gov/contact-me/email-me,1131 Longworth House Office Building,B001273,25292,H0TN06257,412478,N00031539,RepDianeBlack,http://www.opencongress.org/wiki/Diane_Black,http://youtube.com/RepDianeBlack,186436274719648,,,1951-01-16,Rep.Black@opencongress.org
Rep,Mo,,Brooks,,,R,AL,5,1,M,202-225-4801,202-225-4392,http://brooks.house.gov,https://brooks.house.gov/email-me,1230 Longworth House Office Building,B001274,121610,H0AL05163,412395,N00030910,RepMoBrooks,http://www.opencongress.org/wiki/Mo_Brooks,http://youtube.com/RepMoBrooks,155220881193244,,,1954-04-29,Rep.Brooks@opencongress.org
