bioguide_id,twitter_id
R000600,3026622545
H001070,2964222544
Y000064,234128524
E000295,2856787757
T000476,2964174789
Y000063,252819642
Y000062,384913290
Y000033,37007274
W000809,234469322
W000808,234014087
W000806,281540744
W000805,7429102
W000804,15356407
W000802,242555999
W000800,1410590874
W000798,237862972
W000797,1140648348
W000796,137407124
W000795,254082173
W000791,32010840
W000779,250188760
W000437,264219447
W000413,234906311
W000187,36686040
V000128,18137749
V000108,193872188
V000081,164369297
U000039,60828944
U000031,124224165
T000470,242873057
T000469,84119348
T000468,122174004
T000467,18967498
T000465,242892689
T000464,515822213
T000463,51228911
T000462,3145255727
T000461,221162525
T000460,303861808
T000250,296361085
T000238,377534571
T000193,82453460
S001189,234797704
S001188,211901075
S001187,211420609
S001185,381152398
S001184,217543151
S001183,229197216
S001181,109287731
S001180,20545793
S001177,
S001176,1209417007
S001175,24913074
S001172,296245061
S001165,2193480787
S001157,168673083
S001156,312134473
S001154,22527499
S001150,29501253
S001148,76132891
S001145,24195214
S001141,47975734
S000770,76456274
S000583,15856366
S000510,58928690
S000480,63169388
S000364,15600527
S000344,30216513
S000320,21111098
S000250,24735461
S000248,33563161
S000244,851621377
S000185,161791703
S000148,17494010
S000033,29442313
S000030,108376246
R000595,229966028
R000593,33655490
R000592,17544524
R000591,224294785
R000589,221793778
R000588,267854863
R000587,234053893
R000586,236916916
R000585,252819323
R000583,23970171
R000582,52503751
R000580,20015903
R000578,16102244
R000577,13491312
R000576,305620929
R000575,33977070
R000570,18916432
R000515,305216911
R000487,246769138
R000486,479872233
R000435,14275291
R000395,550401754
R000307,75364211
R000146,16789970
R000122,486694111
R000053,21312077
Q000023,56864092
P000603,
P000602,244268646
P000601,299883942
P000599,25086658
P000598,15361570
P000597,14984637
P000596,34972633
P000595,236511574
P000594,17513304
P000593,20552026
P000592,74198348
P000591,6577802
P000588,235271965
P000523,155669457
P000449,18915145
P000373,198526130
P000197,15764644
P000096,74508260
P000034,31801993
O000168,20053279
N000185,236479311
N000184,235251868
N000182,34340464
N000181,344972339
N000179,161411080
N000147,23600262
N000032,20597460
N000015,442824717
N000002,40302336
M001183,234374703
M001182,240385577
M001181,248850174
M001180,240427862
M001179,240363117
M001177,50152441
M001176,29201047
M001170,57065141
M001166,385429543
M001165,19739126
M001163,38254095
M001160,22669526
M001159,17976923
M001158,23976316
M001157,26424123
M001156,27676828
M001153,18061669
M001151,117777832
M001150,15281676
M001144,
M001143,516880804
M001137,22812754
M001111,293131808
M000934,18632666
M000702,132278386
M000689,
M000639,18695134
M000404,132201224
M000355,339822881
M000312,242426145
M000303,19394188
M000133,3047090620
M000087,258900199
L000577,88784440
L000576,1444015610
L000575,225921757
L000573,246341769
L000571,22831059
L000570,19318314
L000569,1849261916
L000567,613725908
L000566,15394954
L000565,510516465
L000564,584012853
L000563,1009269193
L000562,310310133
L000560,404132211
L000559,18909919
L000557,50452197
L000554,241207373
L000551,248735463
L000491,242772524
L000480,221792092
L000397,267938462
