id,screen_name,name,created_at,description,location,url,statuses_count,friends_count,followers_count,verified,profile_image_url,bioguide_id,days_since_creation,days_since_last_tweet,tweets_count,tweets_per_day,recent_tweets_per_day
3026622545,RepAmata,Congresswoman Amata,Mon Feb 09 16:00:36 +0000 2015,Congresswoman Representing American Samoa,"Washington, D.C.",http://t.co/L7B6x0yzTS,1,0,382,True,http://pbs.twimg.com/profile_images/564816554185859073/f1VAN3h3_normal.jpeg,R000600,449,449,1,0.0,0.1
2964222544,RepHardy,Rep. Cresent Hardy,Tue Jan 06 14:08:31 +0000 2015,Proudly representing Nevada's 4th Congressional District,"Nevada, USA",http://t.co/RPDLpARNAe,871,403,2255,True,http://pbs.twimg.com/profile_images/552515282728521729/bazgL2JV_normal.jpeg,H001070,484,0,871,1.8,27.8
234128524,RepToddYoung,Rep. Todd Young,Tue Jan 04 22:35:16 +0000 2011,"I serve the people of #IN09 in Congress. Contact our offices at 812-288-3999 (Jeffersonville), 812-336-3000 (Bloomington) or 202-225-5315 (Washington, DC).",Indiana's 9th District,http://t.co/zPVchT7xlK,2713,476,9578,True,http://pbs.twimg.com/profile_images/714833243187576832/9HH0QI2X_normal.jpg,Y000064,1946,5,2713,1.39,34.1
2856787757,SenJoniErnst,Joni Ernst,Sun Nov 02 13:32:54 +0000 2014,Follow for news and updates from the Office of Iowa Senator Joni K. Ernst. Tweets from Joni are signed JKE.,Iowa ,http://t.co/zUYK5PQEOd,858,48,10832,True,http://pbs.twimg.com/profile_images/560859109470117888/a3odinWf_normal.jpeg,E000295,549,0,858,1.56,70.9
2964174789,SenThomTillis,Senator Thom Tillis,Tue Jan 06 14:22:18 +0000 2015,Official Twitter account of North Carolina Senator Thom Tillis.,"Washington, D.C. ",http://t.co/mLVkKjLyOt,1248,2332,8451,True,http://pbs.twimg.com/profile_images/717483264303370240/ome_0Dbi_normal.jpg,T000476,484,0,1248,2.58,105.4
252819642,RepKevinYoder,Rep. Kevin Yoder,Wed Feb 16 00:04:41 +0000 2011,"I represent the 3rd District of Kansas in the United States Congress, where I serve on the House Appropriations Committee.",KS 3rd District & DC,http://t.co/SFpm7Mapbi,5409,1582,10628,True,http://pbs.twimg.com/profile_images/606933705542799360/d-lWEaEO_normal.jpg,Y000063,1904,0,5409,2.84,117.6
384913290,RepJohnYarmuth,Rep. John Yarmuth,Tue Oct 04 15:07:38 +0000 2011,"Official Twitter Account for Congressman John Yarmuth, representing the 3rd Congressional District of Kentucky.","Louisville, KY",http://t.co/C5AFreYQvO,2095,305,10316,True,http://pbs.twimg.com/profile_images/1572572408/John_Yarmuth_-_twitter_portrait_normal.jpg,Y000062,1673,1,2095,1.25,30.6
37007274,repdonyoung,Rep. Don Young,Fri May 01 18:31:38 +0000 2009,"Merchant Marine, Teacher, State Rep, State Senator and finally Congressman for all Alaska for the last 42 years.","Ft. Yukon, AK",http://t.co/6pJmtT9wTN,1237,631,9793,True,http://pbs.twimg.com/profile_images/428103800/DY_Official_photo3_normal.JPG,Y000033,2559,1,1237,0.48,24.5
234469322,rep_stevewomack,Rep. Steve Womack,Wed Jan 05 18:53:03 +0000 2011,Proud to serve the folks of Arkansas's 3rd District. Follow me on Facebook:  http://t.co/po5GaonDqA,Arkansas's 3rd District,http://t.co/iqdoMeRYwc,3632,1166,10016,True,http://pbs.twimg.com/profile_images/2043213363/Official_Pic_4_normal.jpg,W000809,1945,1,3632,1.87,48.4
234014087,RepWilson,Frederica Wilson,Tue Jan 04 17:08:09 +0000 2011,Congresswoman from the 24th District of Florida; former elementary school principal and school board member; grandmother of four beautiful grandkids,Washington DC,http://t.co/kFPGLDFQ6U,6537,2908,11656,True,http://pbs.twimg.com/profile_images/497398903591800833/hE-zUNye_normal.png,W000808,1946,0,6537,3.36,162.7
281540744,RepWebster,Daniel Webster,Wed Apr 13 13:47:05 +0000 2011,A family man and small-business owner who is dedicated to serving the citizens of Central Florida with honor and integrity.,Central Florida,http://t.co/b57txtC4Hx,2691,311,8392,True,http://pbs.twimg.com/profile_images/1362512985/Twitter_Pic_2_normal.png,W000806,1848,0,2691,1.46,33.4
7429102,MarkWarner,Mark Warner,Thu Jul 12 14:03:33 +0000 2007,Updates from the U.S. Senator from Virginia and Staff. Following/retweeting does not equal an endorsement.,Virginia,http://t.co/sIM9jSdBjn,4683,11047,57688,True,http://pbs.twimg.com/profile_images/593467672542760961/rrj815Tn_normal.jpg,W000805,3219,0,4683,1.45,42.2
15356407,RobWittman,Rep. Rob Wittman,Tue Jul 08 18:25:49 +0000 2008,"proud husband, father, and grandfather; humble Rep. of Virginia's First District; chairman of the readiness subcommittee; advocate of sportsman-led conservation","Montross, VA",http://t.co/JcHDjLlep2,4463,7040,17196,True,http://pbs.twimg.com/profile_images/499275063418302464/Aw8e7K6v_normal.jpeg,W000804,2856,6,4463,1.56,11.9
