id,screen_name,name,created_at,description,location,url,profile_image_url,statuses_count,friends_count,followers_count,verified
1009269193,RepLipinski,Rep. Daniel Lipinski,Thu Dec 13 17:03:06 +0000 2012,Proudly representing the people of Illinois' 3rd Congressional District. Follow me on Facebook at http://t.co/The2w76j,,http://t.co/CHbyJlgm,http://pbs.twimg.com/profile_images/2971346902/d1cb42b1effd617fc324380327c90c99_normal.jpeg,1172,838,3696,True
1037321378,RepMarkTakano,Mark Takano,Wed Dec 26 14:58:17 +0000 2012,"Representing CA's 41st District - Serves on the Veterans' Affairs Committee, the Science, Space & Technology Committee, and the Education & Workforce Committee.","Riverside, CA",http://t.co/deOAwy64tV,http://pbs.twimg.com/profile_images/378800000829724857/328a666c984a5bd66583208f12fb8e2d_normal.jpeg,1529,2323,10881,True
1045110018,RepDanKildee,Rep. Dan Kildee,Sat Dec 29 15:05:47 +0000 2012,"Honored to represent Michigan's Fifth Congressional District. Born and raised in Flint. Proud husband, father and grandfather.","Michigan and Washington, D.C.",http://t.co/0rIZMRJQSp,http://pbs.twimg.com/profile_images/649229542951772160/myVmWhru_normal.jpg,2786,1131,17490,True
1045853744,RepLukeMesser,Rep. Luke Messer,Sat Dec 29 20:06:12 +0000 2012,"Husband to a wonderful wife, father of three great kids, Congressman for Indiana's 6th Congressional District, lifelong Hoosier, and a die-hard #Colts fan.","Shelbyville, IN",http://t.co/ppXKMWSIGC,http://pbs.twimg.com/profile_images/671416278150569984/7NHW13mk_normal.jpg,1312,836,5948,True
1048784496,RepKevinCramer,Rep. Kevin Cramer,Sun Dec 30 20:54:06 +0000 2012,Representing the great people of North Dakota in the United States House of Representatives. Member of @HouseCommerce,,http://t.co/qcKOjPFIDo,http://pbs.twimg.com/profile_images/661666211294347264/o_L3pMnv_normal.jpg,1470,635,5409,True
1051127714,RepGraceMeng,Grace Meng,Mon Dec 31 20:28:41 +0000 2012,"Representing NY's 6th Congressional District - Parts of West, Central and Northeast Queens.

For specific questions or concerns, please contact my office.",,http://t.co/P1ajY4Fn,http://pbs.twimg.com/profile_images/3257470174/64291ff1f090e3193c2764925000a1fa_normal.jpeg,2647,634,7542,True
1051446626,RepAnnWagner,Ann Wagner,Tue Jan 01 00:01:45 +0000 2013,"Official Twitter account for Congresswoman Ann Wagner-- proudly Representing the 2nd Congressional District of Missouri
http://t.co/ozYKLyoI","Ballwin, MO",http://t.co/cB2h9V8jY0,http://pbs.twimg.com/profile_images/378800000119563961/e705a9e31e414148006bd8a034384b35_normal.jpeg,2048,2770,8863,True
1055685948,USRepRickNolan,US Rep. Rick Nolan,Wed Jan 02 17:51:28 +0000 2013,"This is the official Twitter account for U.S Congressman Rick Nolan, proudly serving the people of Minnesota's 8th Congressional District.",,http://t.co/Yv7W0ZPnhx,http://pbs.twimg.com/profile_images/727585571267293185/DimVdpZh_normal.jpg,1905,1057,5356,True
1055730738,RepLowenthal,Rep. Alan Lowenthal,Wed Jan 02 18:11:33 +0000 2013,Proudly serving California's 47th Congressional District. http://t.co/pHmhAyCM6J,"Long Beach, CA",http://t.co/0MV3JJn9EM,http://pbs.twimg.com/profile_images/523118825928015873/_KcBsyJZ_normal.jpeg,2036,3262,6784,True
1055907624,RepJoeKennedy,Rep. Joe Kennedy III,Wed Jan 02 19:33:36 +0000 2013,"Official Twitter account of Congressman Joe Kennedy III, representing Massachusetts' 4th Congressional District.",,http://t.co/a9JpcTCQqQ,http://pbs.twimg.com/profile_images/643538051906600960/713PYP8I_normal.jpg,2538,613,19939,True
